recipient_legal_name,
Association Régionale de la Communauté francophone de Saint-Jean inc|Association Régionale de la Communauté francophone de Saint-Jean inc,
Coopérative Carrefour Santé Communautaire Inkerman Ltd|Coopérative Carrefour Santé Communautaire Inkerman Ltd,
Community Association of Virginia Park Inc.|Community Association of Virginia Park Inc.,
Les Amis du Village Historique Acadien Inc.|Les Amis du Village Historique Acadien Inc.,
Woodstock First Nation|Woodstock First Nation,
Town of St. Stephen|Town of St. Stephen,
Wearwell Garments Limited|Wearwell Garments Limited,
Maritime Madness Inc.|Maritime Madness Inc.,
Ocean Delight Properties Limited|Ocean Delight Properties Limited,
The Royal St. John's Regatta Committee Inc.|The Royal St. John's Regatta Committee Inc.,
Fonemed North America Inc.|Fonemed North America Inc.,
Whale Back Nordic Ski Club|Whale Back Nordic Ski Club,
Premium Seafoods Limited|Premium Seafoods Limited,
East Coast Trail Association Inc.|East Coast Trail Association Inc.,
HYKE Technologies Inc.|HYKE Technologies Inc.,
Made with Local Snack Foods Inc.|Made with Local Snack Foods Inc.,
MacKinnon's Lobster Pound Ltd.|MacKinnon's Lobster Pound Ltd.,
Marco Page|Marco Page,
Melior Motus Inc.|Melior Motus Inc.,
Village de Bas-Caraquet Inc.|VillagA22e de Bas-Caraquet Inc.,
Poley Mountain Resorts Ltd.|Poley Mountain Resorts Ltd.,
Camp Bretondean Incorporated|Camp Bretondean Incorporated,
Municipality of the District of Guysborough|Municipality of the District of Guysborough,
Ville de Bouctouche|Ville de Bouctouche,
Storybook Adventures and Natures Retreat Inc.|Storybook Adventures and Natures Retreat Inc.,
La Coopérative des Arcadiens Limitée|La Coopérative des Arcadiens Limitée,
Shoreline Adventure Center Inc.|Shoreline Adventure Center Inc.,
Louisbourg Seafoods Limited|Louisbourg Seafoods Limited,
Vélo Restigouche Cycling Inc.|Vélo Restigouche Cycling Inc.,
Global Spatial Technology Solutions Inc.|Global Spatial Technology Solutions Inc.,
Indigenous Tourism Association of New Brunswick / Association du tourisme indigè|Indigenous Tourism Association of New Brunswick / Association du tourisme indigè,
Indigenous Tourism Association of New Brunswick / Association du tourisme indigè|Indigenous Tourism Association of New Brunswick / Association du tourisme indigè,
D.F. Barnes Services Limited|D.F. Barnes Services Limited,
Town of Burgeo|Town of Burgeo,
Mi'kmaw Native Friendship Society|Mi'kmaw Native Friendship Society,
EduNova Co-operative Limited|EduNova Co-operative Limited,
AMP Society|AMP Society,
Atlantic Provinces Harness Racing Commission|Atlantic Provinces Harness Racing Commission,
G & L Investments Ltd.|G & L Investments Ltd.,
Nova Scotia Business Incorporated|Nova Scotia Business Incorporated,
Funn Food Factory Inc.|Funn Food Factory Inc.,
Nova Agri Inc.|Nova Agri Inc.,
Howell Ventures Ltd.|Howell Ventures Ltd.,
City of Miramichi|City of Miramichi,
Ashored Inc.|Ashored Inc.,
Nova Scotia Association of Community Business Development Corporations|Nova Scotia Association of Community Business Development Corporations,
Fromagerie de la République Inc.|Fromagerie de la République Inc.,
Eastern Charlotte Waterways Inc.|Eastern Charlotte Waterways Inc.,
Vince Ryan Memorial Hockey Tournament Society|Vince Ryan Memorial Hockey Tournament Society,
Falmouth Community Association|Falmouth Community Association,
New Brunswick Community College|New Brunswick Community College,
First Light Distillery Inc.|First Light Distillery Inc.,
Dear Life Inc.|Dear Life Inc.,
Deep Sky Eye Observatory Inc.|Deep Sky Eye Observatory Inc.,
QuickFacts Inc|QuickFacts Inc,
Acadian Hotel Inc.|Acadian Hotel Inc.,
Conseil Rév. S.-É. Perrey inc|Conseil Rév. S.-É. Perrey inc,
Wellington/Fletcher's Lake Station House|Wellington/Fletcher's Lake Station House,
McKy Enterprises Ltd.|McKy Enterprises Ltd.,
Halifax Regional Municipality|Halifax Regional Municipality,
Halifax Regional Municipality|Halifax Regional Municipality,
Halifax Regional Municipality|Halifax Regional Municipality,
The Graham Inn Inc.|The Graham Inn Inc.,
Newfoundland Independent Filmmakers Cooperative Limited|Newfoundland Independent Filmmakers Cooperative Limited,
Barry Group Inc.|Barry Group Inc.,
Pollen Nation Farm Ltd.|Pollen Nation Farm Ltd.,
Mining Industry NL Inc.|Mining Industry NL Inc.,
The Huntsman Marine Science Centre|The Huntsman Marine Science Centre,
City of Moncton|City of Moncton,
Southeast Aquaculture Sud-Est Inc.|Southeast Aquaculture Sud-Est Inc.,
Musquodoboit Harbour Heritage Society|Musquodoboit Harbour Heritage Society,
Club de curling Tracadie-Sheila inc.|Club de curling Tracadie-Sheila inc.,
Lighthouse of Cape Breton Society|Lighthouse of Cape Breton Society,
Club sportif de Pont-Lafrance Inc.|Club sportif de Pont-Lafrance Inc.,
Second Nature Outdoors Inc.|Second Nature Outdoors Inc.,
Scotia Garden Seafood Incorporated|Scotia Garden Seafood Incorporated,
Nucliq Biologics Inc.|Nucliq Biologics Inc.,
81027 Newfoundland & Labrador Inc.|81027 Newfoundland & Labrador Inc.,
Eastern Analytical Limited|Eastern Analytical Limited,
Wrought Iron Brewing Company|Wrought Iron Brewing Company,
Swiftsure Innovations Inc.|Swiftsure Innovations Inc.,
The College of Piping and Celtic Performing Arts of Canada Inc.|The College of Piping and Celtic Performing Arts of Canada Inc.,
Sandspit Entertainment Ltd|Sandspit Entertainment Ltd,
Prince Edward Island Trails Inc.|Prince Edward Island Trails Inc.,
Central Property Management Inc.|Central Property Management Inc.,
Fishers' Loft Inn Incorporated|Fishers' Loft Inn Incorporated,
Beaulieus Caribou Hunts (2005) Limited|Beaulieus Caribou Hunts (2005) Limited,
Grace Hotel Ltd.|Grace Hotel Ltd.,
Nain Hotel Ltd.|Nain Hotel Ltd.,
Town of North Rustico|Town of North Rustico,
Seafood Processors of Newfoundland and Labrador Inc.|Seafood Processors of Newfoundland and Labrador Inc.,
Acadian Seaplants Limited|Acadian Seaplants Limited,
Brier Island Trails Committee|Brier Island Trails Committee,
Annapolis Valley Ridge Runners Snowmobile Club|Annapolis Valley Ridge Runners Snowmobile Club,
Boondoc Technologies Incorporated|Boondoc Technologies Incorporated,
10432423 Canada Limited|10432423 Canada Limited,
Savio Technology Inc.|Savio Technology Inc.,
Newfoundland and Labrador Indigenous Tourism Association|Newfoundland and Labrador Indigenous Tourism Association,
Atlantic Business Express Ltd.|Atlantic Business Express Ltd.,
iTacit Healthcare Inc.|iTacit Healthcare Inc.,
Charlotte County Hospitality Partnership|Charlotte County Hospitality Partnership,
The United Way of Cape Breton|The United Way of Cape Breton,
Phycus Biotechnologies Inc.|Phycus Biotechnologies Inc.,
The University of New Brunswick|The University of New Brunswick,
Nexus Robotics Inc.|Nexus Robotics Inc.,
Surrette Battery Company Limited|Surrette Battery Company Limited,
MacKenzie Atlantic Tool & Die/Machining Ltd.|MacKenzie Atlantic Tool & Die/Machining Ltd.,
